Abbreviation	Name	Clinical Variables	Participants	Samples sequenced	Link	Accession	Study Design 	Study Focus	Program
	eMERGE Network Phase III Clinical Sequencing: eMERGEseq Panel	60	24960	49844	https://anvilproject.org/data/studies/phs001616	phs001616.v2.p2	Prospective Longitudinal Cohort	Precision Medicine	AnVIL
	NABEC Long-Read Whole-Genome Sequencing		14		https://anvilproject.org/data/studies/phs003181	phs003181.v1.p1	Resource generation for the science community		AnVIL
	ALS Compute	32	10165	10208	https://anvilproject.org/data/studies/phs003184	phs003184.v1.p1	Case-Control	ALS, ALS-FTD	AnVIL
	Identification of ALS Associated Genes Using Whole Genome Sequencing	17	2125	2168	https://anvilproject.org/data/studies/phs001585	phs001585.v4.p2	Case/Control	ALS, ALS-FTD	AnVIL
DEMENTIA-SEQ	DEMENTIA-SEQ: WGS in Lewy Body Dementia and Frontotemporal Dementia	15	8040	8040	https://anvilproject.org/data/studies/phs001963	phs001963.v3.p1	Case/Control	ALS, ALS-FTD, Lewy Body Dementia, FTD	AnVIL
WUCADS	Washington University Coronary Artery Disease Study	9	165	165	https://anvilproject.org/data/studies/phs001227	phs001227.v1.p1	Case-Control	Atherosclerosis	AnVIL
ACE II	CCDG Neuropsychiatric: Autism Center of Excellence (ACE II)		985		https://anvilproject.org/data/studies/phs002042	phs002042.v1.p1	Parent-Offspring	Autism spectrum disorder	AnVIL
CCDG	CCDG Neuropsychiatric: Multimodal Developmental Neurogenetics of Females		244		https://anvilproject.org/data/studies/phs002043	phs002043.v1.p1	Parent-Offspring Trios, Parent-Offspring Quads	Autism spectrum disorder	AnVIL
SSC	CCDG- Neuropsychiatric: Autism - Simons Simplex Collection (SSC)	13	9201	9201	https://anvilproject.org/data/studies/phs001676	phs001676.v1.p1	Family/Twins/Trios	Autism spectrum disorder	AnVIL
SAGE	CCDG- Neuropsychiatric: Autism- Study of Autism Genetics Exploration (SAGE)	20	580	580	https://anvilproject.org/data/studies/phs001740	phs001740.v1.p1	Family/Twins/Trios	Autism spectrum disorder	AnVIL
TASC	CCDG- Neuropsychiatric: Autism- The Autism Simplex Collection (TASC)	15	905	905	https://anvilproject.org/data/studies/phs001741	phs001741.v1.p1	Prospective Longitudinal Cohort	Autism spectrum disorder	AnVIL
CAG	CCDG-Neuropsychiatric: A Study of the Genetic Causes of Complex Pediatric Disorders		734		https://anvilproject.org/data/studies/phs002004	phs002004.v1.p1	Family/Twins/Trios	Autism spectrum disorder	AnVIL
AGRE	CCDG-Neuropsychiatric: Autism- Autism Genetic Resource Exchange (AGRE)		4,601		https://anvilproject.org/data/studies/phs001766	phs001766.v1.p1	Family, Parent-Offspring	Autism spectrum disorder	AnVIL
cDNA	High-Throughput RNA Isoform Sequencing using Programmable cDNA Concatenation				https://anvilproject.org/data/studies/phs003200	phs003200.v1.p1	Cases only	Cancer	AnVIL
BH CMG	Baylor Hopkins Center for Mendelian Genomics (BH CMG) 	13	2445	2451	https://anvilproject.org/data/studies/phs000711	phs000711.v7.p2	Mendelian Randomization Analysis	Mendelian disorders	AnVIL
